Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000058795	SUCS_NB	EDIFC	_	13003	MXN	01/12/2010	2024	1	12	24328.74
NMP01	000000058796	SUCS_NB	EDIFC	_	13010	MXN	01/12/2010	2024	1	12	22902.34
NMP01	000000058797	SUCS_NB	EDIFC	_	13007	MXN	01/12/2010	2024	1	12	4222.34
NMP01	000000058798	SUCS_NB	EDIFC	_	13023	MXN	01/12/2010	2024	1	12	1869.93
NMP01	000000058799	SUCS_NB	EDIFC	_	13006	MXN	01/12/2010	2024	1	12	10287.24
NMP01	000000058821	CORP	EDIFC	15301	ADMON	MXN	01/12/2010	2024	1	12	389.94
NMP01	000000058895	SUCS_NB	EDIFC	_	13004	MXN	01/12/2010	2024	1	12	9963.6
NMP01	000000059644	CORP	EDIFC	16011	ADMON	MXN	01/02/2012	2024	1	12	64748.27
NMP01	000000059645	SUCS_NB	EDIFC	_	13000	MXN	01/12/2010	2024	1	12	40370.79
NMP01	000000059646	SUCS_NB	EDIFC	_	13015	MXN	01/12/2010	2024	1	12	14771.31
NMP01	000000062042	SUCS_NB	EDIFC	_	13000	MXN	01/01/2011	2024	1	12	28824.77
NMP01	000000062043	SUCS_NB	EDIFC	_	13000	MXN	01/01/2011	2024	1	12	49191.18
NMP01	000000062044	SUCS_NB	EDIFC	_	13009	MXN	01/01/2011	2024	1	12	12724.36
NMP01	000000062045	SUCS_NB	PREOP	_	13038	MXN	01/10/2011	2024	1	12	9344.63
NMP01	000000062046	CORP	EDIFC	16202	ADMON	MXN	01/02/2022	2024	1	12	84286.45
NMP01	000000062047	SUCS_NB	EDIFC	_	13015	MXN	01/10/2011	2024	1	12	603.64
NMP01	000000062048	SUCS_NB	EDIFC	_	13017	MXN	01/01/2011	2024	1	12	29881.95
NMP01	000000062049	SUCS_NB	EDIFC	_	13027	MXN	01/01/2011	2024	1	12	32630.82
NMP01	000000062050	SUCS_NB	PREOP	_	13036	MXN	01/10/2011	2024	1	12	7252.63
NMP01	000000062170	SUCS_NB	EDIFC	_	13000	MXN	01/02/2011	2024	1	12	2151.89
NMP01	000000062239	SUCS_NB	EDIFC	_	13007	MXN	01/03/2011	2024	1	12	5258.36
